country,project_name,year,status,lendprojectcost,boardapprovaldate
Pakistan,Balochistan Livelihoods and Entrepreneurship Project,2020,Active,"50,000,000",2020-03-03T00:00:00Z
Myanmar,Inclusive Access and Quality Education project,2020,Active,"180,000,000",2020-03-03T00:00:00Z
Pakistan,Punjab Human Capital Investment Project,2020,Active,"330,000,000",2020-03-03T00:00:00Z
Pakistan,Strengthening Institutions for Refugee Administration Project,2020,Active,"50,000,000",2020-03-03T00:00:00Z
China,Sichuan Water Supply and Sanitation PPP Project,2020,Active,"154,400,000",2020-03-03T00:00:00Z
Uganda,COMPETITIVENESS AND ENTERPRISE DEVELOPMENT PROJECT,2020,Active,"99,800,000",2020-03-02T00:00:00Z
Kyrgyz Republic,Tax Administration and Statistical System Modernization Project,2020,Active,"35,000,000",2020-02-28T00:00:00Z
Burundi,Solar Energy in Local Communities,2020,Active,"102,000,000",2020-02-28T00:00:00Z
Turkey,Renewable Energy Integration Project Additional Financing,2020,Active,"458,000,000",2020-02-28T00:00:00Z
Burundi,Burundi Integrated Community Development Project,2020,Active,"60,000,000",2020-02-28T00:00:00Z
Cambodia,Engaging Citizens to Improve Service Delivery Through Social Accountability,2020,Active,"6,750,000",2020-02-27T00:00:00Z
Albania,Albania Environmental Services Project,2020,Active,"2,000,000",2020-02-27T00:00:00Z
Somalia,Somalia Reengagement and Reform Support Development Policy Financing,2020,Active,"420,000,000",2020-02-27T00:00:00Z
Maldives,Maldives Urban Development and Resilience Project,2020,Active,"16,500,000",2020-02-27T00:00:00Z
Mexico,Water Security and Resilience for the Valley of Mexico (PROSEGHIR),2020,Active,"120,000,000",2020-02-27T00:00:00Z
Colombia,Colombia Institutional Strengthening for Territorial Development DPF,2020,Active,"400,000,000",2020-02-27T00:00:00Z
Solomon Islands,Additional Financing to Rural Development Program II,2020,Active,"2,200,000",2020-02-26T00:00:00Z
Tajikistan,Tajikistan Power Utility Financial Recovery,2020,Active,"479,100,000",2020-02-25T00:00:00Z
Georgia,Additional Financing for Irrigation and Land Market Development Project,2020,Active,"20,430,000",2020-02-20T00:00:00Z
Bolivia,Bolivia Urban Resilience,2020,Active,"70,000,000",2020-02-19T00:00:00Z
Cambodia,Integration of Social Accountability into National and Subnational Systems,2020,Active,"1,720,000",2020-02-18T00:00:00Z
Nigeria,Nigeria Rural Access and Agricultural Marketing Project,2020,Active,"575,000,000",2020-02-18T00:00:00Z
Nigeria,Ogun State Economic Transformation Project,2020,Active,"250,000,000",2020-02-18T00:00:00Z
India,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,2020,Active,"100,000,000",2020-02-18T00:00:00Z
Nigeria,Innovation Development and Effectiveness in the Acquisition of Skills (IDEAS) Project,2020,Active,"200,000,000",2020-02-18T00:00:00Z
Nigeria,Nigeria Improved Child Survival Program for Human Capital MPA,2020,Active,"650,000,000",2020-02-18T00:00:00Z
Nigeria,Nigeria Digital Identification for Development Project,2020,Active,"430,000,000",2020-02-18T00:00:00Z
Nigeria,Sustainable Procurement; Environmental and Social Standards Enhancement Project (SPESSE),2020,Active,"80,000,000",2020-02-18T00:00:00Z
Philippines,Philippines Health Financing Strengthening,2020,Active,"1,750,000",2020-02-14T00:00:00Z
Mozambique,Harnessing the Demographic Dividend,2020,Active,"75,000,000",2020-02-14T00:00:00Z
Kosovo,Kosovo Energy Efficiency and Renewable Energy Additional Financing,2020,Active,"11,250,000",2020-02-12T00:00:00Z
,Statistical Innovation and Capacity Building in the Pacific Islands,2020,Active,"4,400,000",2020-02-11T00:00:00Z
Lao PDR,Additional Financing for Scaling Up Participatory Sustainable Forest Management Project,2020,Active,"5,000,000",2020-02-11T00:00:00Z
Tonga,Statistical Innovation and Capacity Building in Tonga,2020,Active,"2,000,000",2020-02-11T00:00:00Z
Kiribati,Statistical Innovation and Capacity Building in Kiribati,2020,Active,"2,000,000",2020-02-11T00:00:00Z
West Bank and Gaza,Water Security Development - Gaza Central Desalination Program &#8211; Associated Works Phase I Project,2020,Active,"117,000,000",2020-02-10T00:00:00Z
Mexico,Modernization of Public Financial Management Systems in Mexico,2020,Active,"110,000,000",2020-02-06T00:00:00Z
North Macedonia,Social Insurance Administration Project,2020,Active,"15,170,000",2020-02-06T00:00:00Z
