Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,,,,,,94.33042908,95.90304,97.55019,98.43591,99.6229,98.74652,90.4272,99.98138,99.32965,100.66976,90.85693,100.385,99.1292,99.5234,99.3378,99.796,,,,,
Afghanistan,AFG,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,1.08047998,1.20796001,1.164829969,,3.238300085,4.409959793,4.712470055,,5.129169941,,,,,,,,,,,,,,,3.08047,,,,,,,,,,,,,,,,
Angola,AGO,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,42.44820023,36.4048996,30.46442986,25.60520935,20.2190094,21.35334015,19.71660995,18.10671043,17.24547958,15.32050991,12.61038971,15.92413044,,,,,,19.4546299,23.65814018,,,,,,,,97.91823,99.41978,92.73418,85.83747,73.32898,,,,,39.61102,,,
Albania,ALB,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,43.6473999,46.51689148,48.410099.9,49.36845016,51.03987885,52.70954895,53.49600983,54.02891159,54.95606995,55.11399078,56.07830048,58.00259018,48.07036972,35.80265045,35.85797119,36.92980957,39.89353943,40.95692062,40.52645874,42.31085968,44.13253,45.23442,44.79487,48.33761,49.66252,51.28998,53.76874,54.83866,58.60956,61.71825,65.03855,70.0033,77.32688,81.55834,83.35005,86.41825,87.68227,83.82008,80.49873,
Andorra,AND,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,167.5369873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,11.10000038,11.62631035,11.74141979,11.92949963,12.19758034,12.5704298,12.49553967,12.62090969,12.47441959,12.81978035,12.75778961,12.87693977,12.91963959,13.09619999,13.29018021,13.4446497,13.74351978,13.92278957,14.19511986,13.9917202,14.41948032,14.37705994,14.6273098,15.05070019,15.53227043,16.24769974,18.14217949,18.12816048,19.71291924,22.66387939,23.15707,23.2303,23.88172,24.11384,26.3894,26.65644,26.69016,27.13484,27.00394,
United Arab Emirates,ARE,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,32.33110046,36.78535843,47.71646881,54.36402893,49.93117142,49.83808899,50.65322113,51.43915176,54.24642181,57.38444138,57.69358063,54.46495056,55.22861862,57.18363953,60.33749008,60.72489166,60.17279816,57.21633148,58.65330887,61.16707993,60.24378,59.86322,66.15516,73.49327,78.22607,80.71118,80.32287,85.80561,,85.39125,85.29518,85.10507,80.79339,81.48179,88.53074,80.56197,78.67575,,,
Argentina,ARG,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,40.08113098,42.40367126,44.24095154,45.24945831,48.17185974,50.82999039,53.03755188,57.26319122,60.67699814,,,48.56700897,,,47.71863937,,52.24382019,53.40724182,54.83638,55.5328598,58.7352,59.57181,60.24095,60.61656,62.30033,63.74701,63.67605,64.63763,66.605,68.05104,68.89225,68.87405,70.58965,72.24957,73.2492,74.69316,75.33119,76.08473,,
Armenia,ARM,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,54.34492874,,,,,,58.53982162,59.07788849,56.97418976,53.99795914,48.0632019,47.29973984,47.70856094,41.31669998,36.23881912,32.01623154,26.96916962,29.2139492,28.92230034,26.25672913,26.31642,24.86084,25.72026,28.25854,31.3001,32.09145,35.06798,34.65986,35.79373,37.09371,36.99861,51.96393,54.94859,49.82858,49.46956,51.5429,50.77103,50.63231,38.02129,
American Samoa,ASM,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,22.58172035,,,,,,,,,,,,,,,,55.38253,,,,,,,82.72662,84.7787,,93.69638,92.03473,95.86411,,,99.0333,,72.65406,70.2536,
Australia,AUS,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,65.08006287,64.54881287,65.83760071,68.49382782,69.59317017,71.9887619,73.59632111,73.19599152,71.52796936,71.13269043,70.8119812,70.45320892,70.57665253,71.04508209,72.57817078,94.40699.67,76.77609253,78.34647369,,,,99.526,100.39624,82.51852,84.05777,86.60517,82.87441,81.79469,81.62627,81.34398,78.54856,95.16196,99.5956,99.8599,99.6254,99.2257,100,100,,
Austria,AUT,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,60.899189,62.0349617,62.84180832,64.03703308,65.6786499,68.16184998,71.99378204,73.99217987,72.86985779,71.02432251,71.51100922,72.09906769,73.10984039,75.48960114,78.59339905,78.63379669,79.35610962,80.18115234,79.89919281,79.04096985,79.90164,81.5127,83.60645,86.26103,88.24196,88.96066,89.92086,91.18306,93.89929,97.18798,90.7296,90.8142,99.5979,90.1885,100.0194,99.5314,100.2231,100.3838,,
Azerbaijan,AZE,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,20.29014969,,,,,21.78473091,,,19.04953957,21.01804924,19.26637077,18.07338905,16.70457077,16.44500923,19.0732708,18.19915962,17.27763939,16.86310005,18.07305908,19.27133,20.89849,22.36726,23.4206,24.08114,25.44998,26.74821,26.05709,24.15975,23.53097,25.58294,26.55766,24.84933,25.73653,23.10554,23.87579,22.73687,35.98,39.71233,
Burundi,BDI,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,0.264829993,0.318659991,0.304969996,0.316289991,0.3741,0.397890002,0.414909989,0.445239991,,,,,,,,,0.676620007,0.745850027,0.79012,1.15103,1.25501,1.25077,1.33181,1.78957,1.76593,3.48443,,12.06869,10.69071,8.10977,8.41098,9.09977,11.07118,13.68522,14.08462,14.02447,15.36692,
Belgium,BEL,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,100.2968216,99.0773773,99.5039063,99.7584229,100.01675873,99.7151108,99.6159821,99.8190918,100.6716537,99.6454773,99.3829575,100.4536285,100.09953766,99.2784271,99.1088028,99.2144318,99.0228577,,,99.5354538,99.67374,100.063129,99..50084,99.81359,99.83693,99.41279,99.88985,99.01522,99.93306,99.35961,99.3752,99.6128,99.0851,99.8355,99.2441,99.0142,99.0956,99.1453,,
Benin,BEN,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,0,1.511620045,1.296380043,1.438809991,1.878929973,2.364379883,2.624929905,2.925879955,2.885449886,2.827929974,2.69698,2.70855999,2.654789925,2.747430086,2.603889942,2.786499977,2.838639975,,,4.223470211,6.37897,5.61851,5.10867,4.64478,4.56141,5.59762,6.17604,,12.77246,13.56472,17.42143,19.15302,19.00469,19.74098,20.7799,23.92585,24.79332,,25.45034,
Burkina Faso,BFA,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,0.132159993,0.059579998,0.081900001,0.099260002,0.226119995,0.363990009,0.464210004,0.598020017,0.685490012,0.744759977,0.650179982,0.773549974,0.842050016,0.858590007,1.05171001,1.041020036,1.388820052,1.67227006,1.720790029,1.838000059,,,,,,,,2.99717,,2.89914,2.79054,3.09035,3.64866,4.00374,4.17748,4.13881,3.05085,3.67813,4.365,
Bangladesh,BGD,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,78.33683777,,,,,,,,,,21.80455017,19.04225922,17.65191,17.01263,14.66028,11.95502,11.39976,11.36851,,,,11.22079,13.11622,25.60045,,32.83701,,32.35713,35.51505,41.73958,40.81816,
Bulgaria,BGR,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,77.56503296,77.71984863,74.92931366,74.18238068,72.34442139,71.15335846,68.58122253,68.49774933,70.18834686,72.09313202,68.97309113,67.75895691,58.74900818,60.49253845,57.95542908,60.33858109,65.2496109,66.9624176,63.75159836,67.95797729,69.88683,69.89741,73.59438,78.36426,81.69785,84.4738,86.89111,85.0393,82.08126,80.36389,80.42123,80.55133,79.61549,79.61294,79.70017,79.74963,77.20578,,,
Bahrain,BHR,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,11.28349018,13.82863998,15.65021992,17.54331017,17.70095062,22.32504082,24.54509926,25.5806694,25.88368988,25.90512085,,25.00138092,27.50750923,30.80965042,32.22412872,35.35501099,34.3479805,33.39574051,35.54689026,34.81016159,34.09235,33.84245,34.89438,36.12513,38.71503,38.42361,37.9506,,43.76089,48.60069,50.38113,51.41447,50.98251,53.84,57.05359,56.00162,55.25738,54.44444,53.66259,
"Bahamas, The",BHS,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,6.975299835,,,,9.20720005,,11.40859985,15.81334,,31.99018,,,,,,,,,35.96916,40.19623,29.84979,37.38097,28.61595,31.70054,,,
